,parent,child,lambda_val,child_size
4865,16454,6466,5.142857142857142,1
4866,16454,6650,5.142857142857142,1
4867,16454,7103,5.142857142857142,1
4868,16454,7183,5.142857142857142,1
4869,16454,7194,5.142857142857142,1
4870,16436,6799,5.625,1
4871,16449,10688,4.0,1
4872,16450,6657,3.9416058394160585,1
4873,16450,6574,3.9416058394160585,1
4874,16450,5823,3.9416058394160585,1
4875,16450,6055,3.9416058394160585,1
4876,16450,9554,3.9416058394160585,1
4877,16389,7633,3.857142857142857,1
4878,16461,8733,6.666666666666667,1
4879,16461,8221,6.666666666666667,1
4880,16461,8274,6.666666666666667,1
4881,16462,8866,6.585365853658537,1
4882,16437,8367,6.27906976744186,1
4883,16437,8389,6.27906976744186,1
4884,16437,9008,6.27906976744186,1
4885,16427,3643,5.625,1
4886,16457,8768,5.1923076923076925,1
4887,16458,7858,5.346534653465347,1
4888,16451,9670,4.954128440366972,1
4889,16451,10375,4.954128440366972,1
4890,16451,10662,4.954128440366972,1
4891,16459,9760,3.4615384615384617,1
4892,16463,12468,3.4615384615384617,1
4893,16463,12581,3.4615384615384617,1
4894,16464,12585,3.4615384615384617,1
4895,16382,14863,3.802816901408451,1
4896,16439,2643,3.75,1
4897,16439,3969,3.75,1
4898,16411,11507,4.251968503937007,1
4899,16411,9719,4.251968503937007,1
4900,16411,10166,4.251968503937007,1
4901,16447,5476,3.9416058394160585,1
4902,16455,16467,4.354838709677419,626
4903,16455,16468,4.354838709677419,6
4904,16456,4419,4.32,1
4905,16465,7309,5.242718446601942,1
4906,16466,6672,5.1923076923076925,1
4907,16466,5862,5.1923076923076925,1
4908,16466,5405,5.1923076923076925,1
4909,16466,5445,5.1923076923076925,1
4910,16466,6809,5.1923076923076925,1
4911,16436,6054,5.625,1
4912,16449,6438,4.0,1
4913,16389,7483,3.884892086330935,1
4914,16389,8739,3.884892086330935,1
4915,16389,8519,3.884892086330935,1
4916,16389,8535,3.884892086330935,1
4917,16461,9433,6.835443037974684,1
4918,16462,8693,6.585365853658537,1
4919,16437,8710,6.352941176470588,1
4920,16427,1298,5.625,1
4921,16457,8621,5.1923076923076925,1
4922,16458,7784,5.4,1
4923,16451,10470,5.0,1
4924,16451,11095,5.0,1
4925,16459,9408,3.4615384615384617,1
4926,16463,10732,3.4615384615384617,1
4927,16463,11666,3.4615384615384617,1
4928,16463,11799,3.4615384615384617,1
4929,16463,11965,3.4615384615384617,1
4930,16463,12443,3.4615384615384617,1
4931,16464,13344,3.4615384615384617,1
4932,16464,13743,3.4615384615384617,1
4933,16464,13587,3.4615384615384617,1
4934,16464,13714,3.4615384615384617,1
4935,16464,15791,3.4615384615384617,1
4936,16464,14104,3.4615384615384617,1
4937,16464,14280,3.4615384615384617,1
4938,16382,14610,3.802816901408451,1
4939,16439,549,3.75,1
4940,16411,9597,4.251968503937007,1
4941,16447,16469,3.970588235294118,774
4942,16447,16470,3.970588235294118,13
4943,16467,806,4.354838709677419,1
4944,16468,876,4.354838709677419,1
4945,16456,4233,4.32,1
4946,16456,3488,4.32,1
4947,16456,1443,4.32,1
4948,16456,1879,4.32,1
4949,16456,4292,4.32,1
4950,16465,5468,5.242718446601942,1
4951,16436,5394,5.625,1
4952,16449,6233,4.0,1
4953,16389,7999,3.91304347826087,1
4954,16389,8816,3.91304347826087,1
4955,16389,9362,3.91304347826087,1
4956,16461,9086,6.835443037974684,1
4957,16462,8317,6.585365853658537,1
4958,16437,8524,6.352941176470588,1
4959,16427,957,5.625,1
4960,16457,7707,5.242718446601942,1
4961,16457,8571,5.242718446601942,1
4962,16458,8527,5.4,1
4963,16458,8555,5.4,1
4964,16458,8247,5.4,1
4965,16458,8912,5.4,1
4966,16451,11228,5.046728971962617,1
4967,16459,9213,3.4615384615384617,1
4968,16382,14403,3.802816901408451,1
4969,16439,3953,3.776223776223776,1
4970,16439,4149,3.776223776223776,1
4971,16439,4626,3.776223776223776,1
4972,16411,10943,4.285714285714286,1
4973,16469,8532,3.970588235294118,1
4974,16469,8119,3.970588235294118,1
4975,16469,7572,3.970588235294118,1
4976,16469,7913,3.970588235294118,1
4977,16470,10652,3.970588235294118,1
4978,16470,10979,3.970588235294118,1
4979,16467,4853,4.390243902439025,1
4980,16468,1074,4.354838709677419,1
4981,16468,2017,4.354838709677419,1
4982,16468,3033,4.354838709677419,1
4983,16468,3242,4.354838709677419,1
4984,16468,4636,4.354838709677419,1
4985,16465,16471,5.294117647058823,65
4986,16465,16472,5.294117647058823,5
4987,16436,6848,5.74468085106383,1
4988,16449,6131,4.0,1
4989,16389,7904,3.91304347826087,1
4990,16461,8033,6.923076923076923,1
4991,16462,8728,7.397260273972603,1
4992,16437,8226,6.352941176470588,1
4993,16427,327,5.625,1
4994,16457,8207,5.294117647058823,1
4995,16458,7350,5.454545454545455,1
4996,16451,11198,5.09433962264151,1
4997,16459,8617,3.4615384615384617,1
4998,16382,14337,3.802816901408451,1
4999,16439,3852,3.776223776223776,1
5000,16411,11551,4.354838709677419,1
5001,16469,7508,3.970588235294118,1
5002,16470,10597,3.970588235294118,1
5003,16467,4504,4.390243902439025,1
5004,16471,6192,5.346534653465347,1
5005,16472,5503,5.294117647058823,1
5006,16472,6034,5.294117647058823,1
5007,16472,6077,5.294117647058823,1
5008,16472,6317,5.294117647058823,1
5009,16472,6831,5.294117647058823,1
5010,16436,6725,5.74468085106383,1
5011,16449,5829,4.0,1
5012,16389,8245,3.9416058394160585,1
5013,16389,8867,3.9416058394160585,1
5014,16461,8361,6.923076923076923,1
5015,16462,8004,7.941176470588236,1
5016,16437,7939,6.352941176470588,1
5017,16427,16473,5.684210526315789,539
5018,16427,16474,5.684210526315789,9
5019,16457,9190,5.294117647058823,1
5020,16458,8314,5.74468085106383,1
5021,16458,9370,5.74468085106383,1
